Number;Coleccion;Pais;Provincia;Localidad;FechaColecta;Ano_colecta;Latitud;Longitud;Temporalidad;Origen;BIBLIOGRAFIA
47;66494;AR;La Rioja;50km al S de Ulapes Puesto La Suspencion;16/7/1995;1995;-31.96467;-66.209328;Actual;GBIF;
48;126292;PY;Alto Paraguay;50KM WNW MADREJON,MISION NUEVO TRIBU;8/7/1978;1978;-20.47592;-60.319721;Actual;GBIF;
49;M-246460;BO;Chuquisaca;56 kilometers by road east of Tiguipa;26/5/1979;1979;-21.06302;-62.787475;Actual;VertNet;
50;16743;PY;Presidente Hayes;5Km NE of LIne Camp on Rio Verde- Juan de Zalazar;20/9/1973;1973;-23.431754;-58.875478;Actual;VertNet;
51;20126;BO;Tarija;60km SE de Villa Montes;30/11/1975;1975;-21.539921;-62.971726;Actual;GBIF;
52;M-246461;BO;Chuquisaca;64 kilometers east of Tiguipa-71 km east of Tiguipa- BanadoYuguapua;25/5/1979;1979;-21.055443;-62.704518;Actual;VertNet;
53;M-247658;BO;Santa Cruz;7 kilometers east and 3 kilometers north of Ingenio Mora;8/8/1980;1980;-18.441635;-63.132596;Actual;VertNet;
54;19890;PY;Alto Paraguay;8 km N + 37 km W of Mayor Pablo Lagerenza;9/9/1978;1978;-19.851714;-61.125125;Actual;VertNet;
55;AMF018;AR;Santiago del Estero;A 20 km de Malbran yendo a Bandera;28/7/2015;2015;-29.203441;-62.370729;Actual;DatabaseAMF;
56;MA09;AR;San Juan;Agua Cercada;16/9/2011;2011;-30.79398;-67.37068;Actual;This work;
57;WALLA_02288;BO;Santa Cruz;Aguarati;;;-19.11705358;-62.49254843;Actual;Wallace et. al. 2013;Wallace R.B., H.E. Lopez-Strauss, N. Mercado & Z.R. Porcel. 2013. Base de datos sobre la distribucion de los mamiferos medianos y grandes de Bolivia. DVD Interactivo. Wildlife Conservation Society, La Paz, Bolivia
58;ABBA_01906;AR;Salta;Aguaray;NA;;-22.26666667;-63.73333333;Actual;Santos 2017;XX SAREM Gallino et al.
59;WALLA_02225;BO;Santa Cruz;Aguas Calientes;;;-18.51145;-59.4435;Actual;Wallace et. al. 2013;Wallace R.B., H.E. Lopez-Strauss, N. Mercado & Z.R. Porcel. 2013. Base de datos sobre la distribucion de los mamiferos medianos y grandes de Bolivia. DVD Interactivo. Wildlife Conservation Society, La Paz, Bolivia
60;;AR;Santiago del Estero;Ahi Veremos;1/7/2017;2017;-25.83654;-63.943278;Actual;This work;
61;AMF106;AR;San Luis;Alto Pencoso;2/10/2018;2018;-33.414026;-66.880986;Actual;This work;
62;ABBA_01936;AR;Santiago del Estero;Amama;1984;1984;-27.2;-63.05;Actual;Santos 2017;Wisnivesky-Coli C. et al. 1986. Infeccion por Trypanosoma cruzi en mamiferos silvestres de Sgo. del Estero. II SAREM. CL4.
63;;BR;Mato Grosso do Sul;Amolar Mountain Range;2015;2015;-18.039748;-57.506924;Actual;Feijo et al, 2015;Porfirio et al, 2014
64;321017;AR;San Luis;Area Natural Protegida Quebracho de la Legua;17/8/2015;2015;-32.35;-66.916667;Actual;Ecoregistros;
65;19797;PY;Presidente Hayes;Area of Retiro km 305 on Trans-Chaco highway-Retiro;9/4/1973;1973;-23.327757;-59.110747;Actual;VertNet;
66;;AR;Jujuy;Arroyo Saladillo;ago-88;1988;-23.69667;-64.395929;Actual;Feijo et al, 2015;Vizcaino,1997
67;WALLA_02217;BO;Santa Cruz;Ascencion;;;-16.51171;-59.46023;Actual;Wallace et. al. 2013;Wallace R.B., H.E. Lopez-Strauss, N. Mercado & Z.R. Porcel. 2013. Base de datos sobre la distribucion de los mamiferos medianos y grandes de Bolivia. DVD Interactivo. Wildlife Conservation Society, La Paz, Bolivia
68;SJ014;AR;San Juan;Baldes Sur;17/9/2011;2011;-30.64184;-67.411998;Actual;This work;
69;GIOCI_00092;PY;Alto Paraguay;Base 5 Adrian Jara;2002;2002;-19.55972222;-59.51805556;Actual;This work;Unpublisehd data
70;WALLA_02219;BO;Santa Cruz;Buena Vista;;;-17.76805;-59.90438;Actual;Wallace et. al. 2013;Wallace R.B., H.E. Lopez-Strauss, N. Mercado & Z.R. Porcel. 2013. Base de datos sobre la distribucion de los mamiferos medianos y grandes de Bolivia. DVD Interactivo. Wildlife Conservation Society, La Paz, Bolivia
71;AMF044;AR;Formosa;Camino en Formosa- cerca de Gral Guemes;31/5/2016;2016;-24.888959;-59.612914;Actual;This work;
72;AMF048;AR;Formosa;20 km NO de Colonia Union Escuela;1/6/2016;2016;-24.651109;-59.852071;Actual;This work;
73;AMF038;AR;Chaco;50km en linea recta al NO de Miraflores;29/5/2016;2016;-25.375812;-61.323569;Actual;This work;
74;GIOCI_00057;PY;PRESIDENTE HAYES;Campo Maria;2001;2001;-22.57166667;-59.34777778;Actual;Santos 2017;Unpublisehd data
75;GIOCI_00066;PY;Boqueron;Canada El Carmen;2007;2007;-21.64416667;-62.27305556;Actual;Santos 2017;Unpublisehd data
76;WALLA_02228;BO;Santa Cruz;Candelaria;;;-18.56211;-58.95295;Actual;Wallace et. al. 2013;Wallace R.B., H.E. Lopez-Strauss, N. Mercado & Z.R. Porcel. 2013. Base de datos sobre la distribucion de los mamiferos medianos y grandes de Bolivia. DVD Interactivo. Wildlife Conservation Society, La Paz, Bolivia
77;WALLA_02238;BO;Santa Cruz;Candelaria;;;-16.77996;-58.84322;Actual;Wallace et. al. 2013;Wallace R.B., H.E. Lopez-Strauss, N. Mercado & Z.R. Porcel. 2013. Base de datos sobre la distribucion de los mamiferos medianos y grandes de Bolivia. DVD Interactivo. Wildlife Conservation Society, La Paz, Bolivia
78;65623;AR;Cordoba;Capilla del Monte;19/9/2010;2010;-30.844869;-64.533803;Actual;Ecoregistros;
79;62848;BO;Tarija;Capirenda 12 mi SW;23/9/1957;1957;-21.240954;-63.108475;Actual;VertNet;Anderson, 1997
80;27349;BO;Tarija;Capirenda 15 km NE;12/7/1957;1957;-21.038201;-62.922362;Actual;GBIF;Anderson, 1997
81;79709;PY;Alto Paraguay;CAPITAN PABLO LAGERENZA;11/5/1997;1997;-19.887167;-60.752335;Actual;GBIF;
82;WALLA_02230;BO;Santa Cruz;Carmen Viejo;;;-18.81451;-58.563;Actual;Wallace et. al. 2013;Wallace R.B., H.E. Lopez-Strauss, N. Mercado & Z.R. Porcel. 2013. Base de datos sobre la distribucion de los mamiferos medianos y grandes de Bolivia. DVD Interactivo. Wildlife Conservation Society, La Paz, Bolivia
83;JEFFT_00019;PY;Boqueron;Casado Cue;2005;2005;-21.52479;-60.40051;Actual;Santos 2017;NA
84;WALLA_02312;BO;Santa Cruz;Cerro Colorado;;;-19.45474033;-62.36641785;Actual;Wallace et. al. 2013;Wallace R.B., H.E. Lopez-Strauss, N. Mercado & Z.R. Porcel. 2013. Base de datos sobre la distribucion de los mamiferos medianos y grandes de Bolivia. DVD Interactivo. Wildlife Conservation Society, La Paz, Bolivia
85;WALLA_02268;BO;Santa Cruz;Cerro Cortado;;;-19.557036;-62.274294;Actual;Wallace et. al. 2013;Wallace R.B., H.E. Lopez-Strauss, N. Mercado & Z.R. Porcel. 2013. Base de datos sobre la distribucion de los mamiferos medianos y grandes de Bolivia. DVD Interactivo. Wildlife Conservation Society, La Paz, Bolivia
86;BGOM_00153;AR;Chaco;Chaco Forest Fragments Subhumid Chaco                                                                                                                                                          ;2015;2015;-27.09502;-61.40671;Actual;Santos 2017;NA
87;SP396;AR;Cordoba;Chancani;PREGUNTAR A SEBA;2009;-31.52837;-65.44639;Actual;DatabaseAMF;
88;;BR;Mato Grosso do Sul;Chapada do Sul- Fazenda Pouso Frio;2004;2004;-18.676595;-52.87158;Actual;Bordigon, 2006;Bordigon et al, 2006
89;;AR;San Juan;Chucuma;13/6/1986;1986;-31.12619;-67.11361;Actual;This work;
90;WALLA_02309;BO;Santa Cruz;Concesion Forestal El Encanto;;;-16.93438056;-59.72415278;Actual;Santos 2017;Wallace R.B., H.E. Lopez-Strauss, N. Mercado & Z.R. Porcel. 2013. Base de datos sobre la distribucion de los mamiferos medianos y grandes de Bolivia. DVD Interactivo. Wildlife Conservation Society, La Paz, Bolivia
91;PERO_00137;AR;Santiago del Estero;Copo National Park;2007;2007;-25.67402;-61.76582;Actual;Santos 2017;NA
92;PERO_00144;AR;Santiago del Estero;Copo Provincial Reserve;2007;2007;-25.77392;-62.06383;Actual;Santos 2017;NA
93;PERO_00164;AR;Santiago del Estero;Copo -Santiago del Estero and Chaco border-;2012;2012;-25.96175;-61.70746;Actual;Santos 2017;NA
94;WALLA_02214;BO;Tarija;Corbalan;;;-21.65691667;-62.46844444;Actual;Santos 2017;
95;WALLA_02265;BO;Santa Cruz;Cupesi;;;-18.478333;-62.081667;Actual;Wallace et. al. 2013;Wallace R.B., H.E. Lopez-Strauss, N. Mercado & Z.R. Porcel. 2013. Base de datos sobre la distribucion de los mamiferos medianos y grandes de Bolivia. DVD Interactivo. Wildlife Conservation Society, La Paz, Bolivia
96;7181;BO;Santa Cruz;Curuyuqui;1/6/1990;1990;-18.75;-62.217;Actual;GBIF;Parker 1993
97;AMF103;AR;San Luis;Desaguadero;1/10/2018;2018;-33.303216;-67.131268;Actual;This work;
98;79721;PY;Alto Paraguay;DEST.  GABINO MENDOZA;25/5/1997;1997;-20.042334;-61.875832;Actual;GBIF;
99;PERO_00126;AR;Salta;Divertidos;2012;2012;-22.36642;-63.06039;Actual;Santos 2017;NA
100;;BR;Mato Grosso;Duas Lagoas Ranch;2015;2015;-16.170278;-58.186667;Actual;Attias et al, 2016;
101;JEFFT_00020;PY;Boqueron;Eas. en Picco;2005;2005;-21.11112;-60.52543;Actual;Santos 2017;NA
102;ABA4;AR;Cordoba;El Brete- Cruz del Eje;;;-30.67089;-64.90266;Actual;DatabaseAMF;
103;VEQU_00078;AR;Formosa;El Cantor;2010;2010;-23.52431;-62.225814;Actual;Quiroga 2013;Quiroga, V. A. -2013-. Ecologia y Conservacion del yaguarete -Panthera onca- y el puma -Puma concolor- en el Chaco semiarido argentino: su relacion con la disponibilidad de presas y la presencia humana en la region. Tesis Doctoral para la Universidad Nacional de Cordoba. 216 pags.
104;VEQU_00075;AR;Formosa;El Cantor;2010;2010;-23.4711;-62.31221;Actual;Quiroga 2013;Quiroga, V. A. -2013-. Ecologia y Conservacion del yaguarete -Panthera onca- y el puma -Puma concolor- en el Chaco semiarido argentino: su relacion con la disponibilidad de presas y la presencia humana en la region. Tesis Doctoral para la Universidad Nacional de Cordoba. 216 pags.
105;VEQU_00074;AR;Formosa;El Cantor;2010;2010;-23.453647;-62.203932;Actual;Quiroga 2013;Quiroga, V. A. -2013-. Ecologia y Conservacion del yaguarete -Panthera onca- y el puma -Puma concolor- en el Chaco semiarido argentino: su relacion con la disponibilidad de presas y la presencia humana en la region. Tesis Doctoral para la Universidad Nacional de Cordoba. 216 pags.
