sp_name,x,y
Tolypeutes_matacus,-63.193911,-30.710706
Tolypeutes_matacus,-61.84298864,-16.51126095
Tolypeutes_matacus,-59.86292,-18.24158
Tolypeutes_matacus,-64.204069,-29.66057
Tolypeutes_matacus,-59.431095,-22.333465
Tolypeutes_matacus,-59.85,-22.3833
Tolypeutes_matacus,-61.50681,-26.14497
Tolypeutes_matacus,-61.53625,-25.92334
Tolypeutes_matacus,-62.060638,-26.132754
Tolypeutes_matacus,-60.97425,-24.59366
Tolypeutes_matacus,-63.066,-23.033
Tolypeutes_matacus,-60.5,-22.05
Tolypeutes_matacus,-60.47147,-17.11214
Tolypeutes_matacus,-60.801889,-25.770944
Tolypeutes_matacus,-62.551045,-19.817733
Tolypeutes_matacus,-64.061622,-28.204979
Tolypeutes_matacus,-62.872588,-23.454743
Tolypeutes_matacus,-64.28014444,-24.86039167
Tolypeutes_matacus,-63.75203333,-23.50390278
Tolypeutes_matacus,-60.13427,-21.6969
Tolypeutes_matacus,-58.69,-19.57057
Tolypeutes_matacus,-60.13333333,-22.65
Tolypeutes_matacus,-58.260061,-23.155051
Tolypeutes_matacus,-57.96388889,-20.79305556
Tolypeutes_matacus,-60.592998,-19.716667
Tolypeutes_matacus,-56.98333333,-18.98333333
Tolypeutes_matacus,-62.500054,-19.299998
Tolypeutes_matacus,-62.274188,-25.190029
Tolypeutes_matacus,-61.73527778,-19.62777778
Tolypeutes_matacus,-61.9265679,-25.69884153
Tolypeutes_matacus,-61.939181,-25.973129
Tolypeutes_matacus,-60.33333333,-20.33333333
Tolypeutes_matacus,-60.94658646,-24.99382599
Tolypeutes_matacus,-62.04916667,-20.60527778
Tolypeutes_matacus,-67.044588,-32.568857
Tolypeutes_matacus,-59.5,-24.25
Tolypeutes_matacus,-59.966667,-26.266667
Tolypeutes_matacus,-60.55998,-21.41773
Tolypeutes_matacus,-58.8543,-21.94287
Tolypeutes_matacus,-59.81677,-20.96644
Tolypeutes_matacus,-61.082547,-25.166999
Tolypeutes_matacus,-58.140986,-25.072246
Tolypeutes_matacus,-63.98443,-22.77455
Tolypeutes_matacus,-60.41593,-24.91074
Tolypeutes_matacus,-58.53688049,-17.12289521
