sp_name,x,y
Tolypeutes_matacus,-62.014353,-24.850431
Tolypeutes_matacus,-58.801345,-26.307822
Tolypeutes_matacus,-61.716667,-24.316667
Tolypeutes_matacus,-65.918938,-32.39567
Tolypeutes_matacus,-62.48819,-24.41465
Tolypeutes_matacus,-61.8647,-26.21906
Tolypeutes_matacus,-64.9841,-25.04081
Tolypeutes_matacus,-65.261976,-32.112244
Tolypeutes_matacus,-67.473675,-30.629633
Tolypeutes_matacus,-61.0992,-16.76608
Tolypeutes_matacus,-61.86666667,-16.7
Tolypeutes_matacus,-58.77473,-18.64491
Tolypeutes_matacus,-60.61127,-16.54216
Tolypeutes_matacus,-62.84917,-22.15861
Tolypeutes_matacus,-60.79008,-16.40976
Tolypeutes_matacus,-61.02121,-16.49835
Tolypeutes_matacus,-62.81307,-22.33612
Tolypeutes_matacus,-59.4924,-18.31917
Tolypeutes_matacus,-63.772226,-26.19907
Tolypeutes_matacus,-56.78895455,-20.77201248
Tolypeutes_matacus,-57.61669,-17.750166
Tolypeutes_matacus,-66.5851,-32.293
Tolypeutes_matacus,-63.2,-18.133333
Tolypeutes_matacus,-58.16594,-19.02333
Tolypeutes_matacus,-63.20827,-28.00258
Tolypeutes_matacus,-59.91724444,-18.03191944
Tolypeutes_matacus,-63.484039,-22.397541
Tolypeutes_matacus,-60.81033,-18.51617
Tolypeutes_matacus,-65.116,-27.466
Tolypeutes_matacus,-64.792924,-28.370212
